level,mean,min
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
Peripheral,1.894438969917962,0.6368261721001841
Cortical,1.596809945392544,0.3889007153202662
Object,0.985021928581478,0.39495220154415034
